4668	0
4669	0
4670	0
19591	0
4671	0
4671	1
4671	1
4671	1
12782	0
9412	0
9412	1
9412	1
9412	1
9412	1
9412	1
9412	1
9412	1
4672	0
21335	0
4679	0
4679	1
14444	0
14444	1
14444	1
14444	1
14444	1
14444	1
14444	1
14444	1
14444	1
14444	1
14444	1
4673	0
4673	2
4673	2
4864	0
12920	0
12920	1
12920	1
4677	0
4677	1
4678	0
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4678	1
4687	0
4674	0
4675	0
4675	1
4675	1
4675	1
4675	1
4675	1
4675	1
4675	1
4675	1
14955	0
14955	1
14955	1
14955	1
14955	0
15937	1
15937	1
15937	1
15937	1
15937	1
15937	1
15937	1
15937	1
15937	0
15937	1
15937	1
4676	1
4676	0
4676	1
4676	1
4681	1
4681	1
4681	0
4681	0
4681	0
4703	0
19365	0
13997	1
4680	1
4684	1
4684	0
4684	0
4684	0
10545	0
4686	0
4686	1
4844	1
4682	1
18203	1
18203	1
18203	1
18203	1
18203	1
18203	0
18203	0
18203	1
18203	1
20792	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	1
12795	0
12795	0
12795	0
12795	0
1	1
17698	0
17982	0
10760	0
10760	0
18890	0
14959	0
20938	0
4683	1
17865	1
4685	1
4731	1
4731	1
4731	0
4731	0
4731	0
4731	0
4731	0
4794	1
2	1
4827	1
21032	1
15777	1
15777	0
15777	1
15777	1
15777	1
15777	1
18864	1
18864	1
18864	1
18864	1
18864	1
18864	1
18864	1
18864	1
18864	1
18864	0
18864	0
18864	0
18864	2
18864	2
14405	2
11071	1
4706	1
4706	1
4706	1
4706	1
4706	1
4706	1
4706	0
4706	2
4706	1
4706	0
4706	0
12844	2
12844	2
12844	2
12844	2
12737	2
7800	0
7800	2
7800	2
7800	2
4851	2
4851	2
4688	0
4688	2
4688	2
4688	2
15569	1
15569	1
3	1
3	1
3	1
3	1
3	0
3	0
3	0
3	0
3	0
3	0
4691	1
4705	1
4689	1
18344	1
4690	1
4729	1
4729	1
4729	1
4729	0
4729	2
4729	2
4729	2
4729	0
4729	2
4692	2
4692	2
4692	0
4692	2
11672	2
11672	0
11672	2
11672	2
4696	0
4696	0
4696	2
4693	2
4693	2
4693	0
4694	2
4695	2
4695	2
4695	0
4695	2
4699	2
4699	2
4699	1
